engagement_id,sponsor_account_id,engagement_date,engagement_type,notes,outcome,created_at
c68da176-9ca1-465d-b477-38fb9565b697,6356bcf5-f57f-46e5-b170-2304926a1549,2024-02-13,outreach,Must data information space century successful mother sort throw table future goal.,interested,2026-01-30 16:31:54.493259+00
7ab8feaa-b408-474c-b82b-bc7b2dd8ee3a,6356bcf5-f57f-46e5-b170-2304926a1549,2024-10-08,outreach,Election thank century like social anything.,positive,2026-01-30 16:31:54.493259+00
e9c9e103-811d-4a16-b2a9-446948e76c6c,3819f636-8b5c-4574-a9c4-ee0741f3ba30,2025-11-18,outreach,Often campaign idea happen serious deal middle series get speak drug this our.,declined,2026-01-30 16:31:54.493259+00
7baa7e9a-d808-4e09-9629-aa445f9d6171,3a475665-993f-4cb1-a932-b2b19796fe1a,2025-06-09,outreach,Generation beat how long site factor meeting nation follow mention account particularly authority pay.,no_response,2026-01-30 16:31:54.493259+00
48621c8f-3d2b-48c0-a0f9-8b2ee7b82bee,3819f636-8b5c-4574-a9c4-ee0741f3ba30,2024-05-26,outreach,Woman exactly especially generation everyone wear may left name factor worry.,declined,2026-01-30 16:31:54.493259+00
5370f8de-f46c-4a3b-9393-17e0625fe4b7,3819f636-8b5c-4574-a9c4-ee0741f3ba30,2024-05-09,program_sponsorship,Natural again reach one sound week enter future economy.,no_response,2026-01-30 16:31:54.493259+00
d06eee9e-dcd4-49fd-a9af-7213392ebd30,3a475665-993f-4cb1-a932-b2b19796fe1a,2025-01-05,meeting,Chair scene pull health computer care cover nature concern race model available agreement.,follow_up_needed,2026-01-30 16:31:54.493259+00
13f02c31-b569-482c-a878-f00723e3f5ea,3819f636-8b5c-4574-a9c4-ee0741f3ba30,2025-09-11,program_sponsorship,Impact believe once could man fire movie eat if call single join thank.,declined,2026-01-30 16:31:54.493259+00
0bd96221-4005-4e2d-a6e9-f7a020caa933,3a475665-993f-4cb1-a932-b2b19796fe1a,2025-01-15,meeting,May three room personal each item across talk mother public quickly.,positive,2026-01-30 16:31:54.493259+00
16dd6cb9-75f5-4a15-a54e-45bcd089b828,0d12e743-69ab-4a98-bc1d-c8cd40c7499d,2025-06-26,meeting,One such suffer analysis great himself bank become minute decade whose body.,declined,2026-01-30 16:31:54.493259+00
efba1d12-c028-40be-8361-a3b839b7dd20,3a475665-993f-4cb1-a932-b2b19796fe1a,2025-10-27,meeting,Product laugh blood friend us send teach meeting.,no_response,2026-01-30 16:31:54.493259+00
ebc84f65-7bf9-442a-b179-924115f17e83,3819f636-8b5c-4574-a9c4-ee0741f3ba30,2024-01-27,outreach,Tough nothing news yeah effort decision house central result expect past.,no_response,2026-01-30 16:31:54.493259+00
9d42ca75-8c34-4eac-b52b-21eea85f9ec1,6356bcf5-f57f-46e5-b170-2304926a1549,2025-06-14,meeting,Authority board administration decade network hope field.,follow_up_needed,2026-01-30 16:31:54.493259+00
e8efcf0d-315a-4bb2-8914-13a09a4b835b,3819f636-8b5c-4574-a9c4-ee0741f3ba30,2024-09-25,meeting,White least concern project recently customer religious.,declined,2026-01-30 16:31:54.493259+00
1aeb0693-a161-4c3e-8f16-c61ba3576aba,0d12e743-69ab-4a98-bc1d-c8cd40c7499d,2025-09-18,meeting,Music reveal establish ready option clearly.,declined,2026-01-30 16:31:54.493259+00
25c6dbc5-5700-46bc-83ab-708fa6c06aaa,0d12e743-69ab-4a98-bc1d-c8cd40c7499d,2024-05-05,program_sponsorship,Doctor everyone nature agreement former store north book concern.,positive,2026-01-30 16:31:54.493259+00
36a7bd2b-7fa1-42d9-a403-2563d042cb53,6356bcf5-f57f-46e5-b170-2304926a1549,2024-06-25,outreach,Full base region mission first order water any role say hit whether black.,declined,2026-01-30 16:31:54.493259+00
fc02fc13-e3a4-4e1a-9170-647a8cf68be5,3819f636-8b5c-4574-a9c4-ee0741f3ba30,2025-11-29,meeting,Moment college central himself news mind thing begin perform help.,interested,2026-01-30 16:31:54.493259+00
d59d9df9-1a94-4e2c-b223-9648252dba1d,3819f636-8b5c-4574-a9c4-ee0741f3ba30,2025-07-17,outreach,Compare threat how specific another there collection.,interested,2026-01-30 16:31:54.493259+00
6c0f7152-02dd-4855-b1f2-4a3f5d69d3dc,3a475665-993f-4cb1-a932-b2b19796fe1a,2024-06-10,outreach,Color fear body interview but and small create field girl computer.,no_response,2026-01-30 16:31:54.493259+00
b4b2af2b-981a-47c3-aabc-d5f23298b29e,3a475665-993f-4cb1-a932-b2b19796fe1a,2025-06-04,program_sponsorship,Opportunity start budget young later raise American tonight way sense finish.,positive,2026-01-30 16:31:54.493259+00
1fba9f20-baae-400b-8270-52bc1041b40b,0d12e743-69ab-4a98-bc1d-c8cd40c7499d,2024-05-22,program_sponsorship,Everybody price few style big few safe color natural wall down.,declined,2026-01-30 16:31:54.493259+00
a2568e9a-9786-4631-8046-517d79cf5b69,3819f636-8b5c-4574-a9c4-ee0741f3ba30,2025-01-04,outreach,Moment protect floor course cell field similar want product media story.,follow_up_needed,2026-01-30 16:31:54.493259+00
9838c2fe-af5e-4843-be5f-c68905571839,3a475665-993f-4cb1-a932-b2b19796fe1a,2025-04-23,outreach,Gas tree process interest science foot.,no_response,2026-01-30 16:31:54.493259+00
e1d02ffc-1eb3-4687-aedf-b37de3bd181a,3819f636-8b5c-4574-a9c4-ee0741f3ba30,2024-03-08,meeting,Ever visit government almost treat specific.,declined,2026-01-30 16:31:54.493259+00
37ea02f7-9a60-4ca2-b506-2a3827fe172f,6356bcf5-f57f-46e5-b170-2304926a1549,2025-06-22,meeting,Risk instead walk north some probably receive season company specific home home.,declined,2026-01-30 16:31:54.493259+00
86db4f76-3151-45b3-b39c-04718bea9556,3819f636-8b5c-4574-a9c4-ee0741f3ba30,2024-05-08,meeting,Short walk movement year music energy along.,positive,2026-01-30 16:31:54.493259+00
99c0c591-0819-4429-8398-6f6f24a5f081,6356bcf5-f57f-46e5-b170-2304926a1549,2025-04-22,outreach,System property cut treat sound ahead chance offer.,follow_up_needed,2026-01-30 16:31:54.493259+00
9d68a3cc-c5a1-4886-81f4-279eed767957,3a475665-993f-4cb1-a932-b2b19796fe1a,2024-05-11,outreach,Easy work economy billion natural even would week near table imagine exactly high.,follow_up_needed,2026-01-30 16:31:54.493259+00
27191126-764d-4816-b79b-1802a8ebc665,0d12e743-69ab-4a98-bc1d-c8cd40c7499d,2024-05-12,meeting,Best authority half choice ask nothing shake speech water parent upon tonight.,follow_up_needed,2026-01-30 16:31:54.493259+00
011a3660-2487-4927-90dc-4d3dd5247534,3819f636-8b5c-4574-a9c4-ee0741f3ba30,2024-05-07,outreach,Cost medical summer after by assume life impact.,no_response,2026-01-30 16:31:54.493259+00
65f3dcd5-fe4a-477a-8ca1-b332b054dce4,3a475665-993f-4cb1-a932-b2b19796fe1a,2024-06-17,program_sponsorship,Amount finally stop design nothing group one production government important travel question know.,interested,2026-01-30 16:31:54.493259+00
0e3f7592-9e23-4d76-ba2d-a5f131f97b34,0d12e743-69ab-4a98-bc1d-c8cd40c7499d,2024-12-20,outreach,Actually ground join hear teacher Mr radio.,interested,2026-01-30 16:31:54.493259+00
6d8d733f-f674-41ca-9b99-e949def12006,3819f636-8b5c-4574-a9c4-ee0741f3ba30,2024-09-13,program_sponsorship,Church throw huge answer agency issue cultural state account audience attention begin.,follow_up_needed,2026-01-30 16:31:54.493259+00
c7a9bcb4-ba07-4b9a-b2f4-f70f404f46ad,3a475665-993f-4cb1-a932-b2b19796fe1a,2024-05-08,outreach,Apply task have center artist war what.,interested,2026-01-30 16:31:54.493259+00
01f81eb5-6b7c-4c25-9f01-cd4313ac9712,3819f636-8b5c-4574-a9c4-ee0741f3ba30,2025-05-29,outreach,Very country yet contain include product support seem allow full.,no_response,2026-01-30 16:31:54.493259+00
20f4164f-a925-45e5-a5d9-3aba49cc6f0b,0d12e743-69ab-4a98-bc1d-c8cd40c7499d,2024-06-24,outreach,Response represent bad growth drop reduce soon fall.,follow_up_needed,2026-01-30 16:31:54.493259+00
2134f220-2cdf-429a-ad44-47bdb6e0f8c5,3a475665-993f-4cb1-a932-b2b19796fe1a,2025-07-31,program_sponsorship,Operation home country decade prove remember name history yard student answer meeting eight.,positive,2026-01-30 16:31:54.493259+00
10a89612-ca2f-447c-8fbc-4d4b43a3a0fc,3819f636-8b5c-4574-a9c4-ee0741f3ba30,2024-02-16,outreach,Then her trip history sort evening sea important act.,follow_up_needed,2026-01-30 16:31:54.493259+00
4875dda2-562b-42dd-bfce-e6844adcc178,3a475665-993f-4cb1-a932-b2b19796fe1a,2025-10-28,program_sponsorship,Out local mouth science program remain line official.,follow_up_needed,2026-01-30 16:31:54.493259+00
61e45fca-5897-4bee-85e4-f9d7210e49bc,6356bcf5-f57f-46e5-b170-2304926a1549,2025-09-24,outreach,Similar full knowledge bit trouble wife voice change.,positive,2026-01-30 16:31:54.493259+00
389ce8b1-4067-4f47-8524-3f25280e9e9b,6356bcf5-f57f-46e5-b170-2304926a1549,2025-10-04,outreach,Executive effect morning wonder site answer late traditional those table avoid worry talk.,interested,2026-01-30 16:31:54.493259+00
bf49777a-0879-4c4e-a996-704d7a6039a2,3a475665-993f-4cb1-a932-b2b19796fe1a,2025-05-09,program_sponsorship,Talk fast somebody know ability strategy draw inside rich admit often rate.,declined,2026-01-30 16:31:54.493259+00
0b26d2d9-ec13-46ef-b9f7-eab6444ff364,3a475665-993f-4cb1-a932-b2b19796fe1a,2025-04-09,program_sponsorship,Wife service range south do could.,positive,2026-01-30 16:31:54.493259+00
17456831-eb73-40d3-b50d-4261d55f2943,0d12e743-69ab-4a98-bc1d-c8cd40c7499d,2025-03-26,meeting,Show manage add break hard pay too treatment tonight decade for throw.,declined,2026-01-30 16:31:54.493259+00
4b4df6a9-092f-4662-acc2-ac28c1399e78,6356bcf5-f57f-46e5-b170-2304926a1549,2024-07-27,meeting,End paper drug various team party meeting success party discover body.,follow_up_needed,2026-01-30 16:31:54.493259+00
14814337-4356-4d37-820d-2d89e6b6a961,0d12e743-69ab-4a98-bc1d-c8cd40c7499d,2024-11-16,outreach,Social realize moment audience color anyone.,interested,2026-01-30 16:31:54.493259+00
